id,sub_id,text
$C1910_MAIN_8000_2900_08_blt,,
$C1910_MAIN_8000_2900_08_blt,ACTOR,Barret
$C1910_MAIN_8100_0100_00_tif,,"Aerith, you asleep?"
$C1910_MAIN_8100_0100_00_tif,ACTOR,Tifa
$C1910_MAIN_8100_0200_00_art,,"Nope, just barely."
$C1910_MAIN_8100_0200_00_art,ACTOR,Aerith
$C1910_MAIN_8100_0300_00_tif,,"Cloud…<br>Where was he, and what was he doing these past five years?"
$C1910_MAIN_8100_0300_00_tif,ACTOR,Tifa
$C1910_MAIN_8100_0400_00_art,,You’re asking me?
$C1910_MAIN_8100_0400_00_art,ACTOR,Aerith
$C1910_MAIN_8100_0500_00_tif,,I thought maybe you knew everything.
$C1910_MAIN_8100_0500_00_tif,ACTOR,Tifa
$C1910_MAIN_8100_0600_00_art,,I think I did know.
$C1910_MAIN_8100_0600_00_art,ACTOR,Aerith
$C1910_MAIN_8100_0610_00_art,,But it was taken from me.
$C1910_MAIN_8100_0610_00_art,ACTOR,Aerith
$C1910_MAIN_8100_0700_00_art,,"…Erased, maybe?"
$C1910_MAIN_8100_0700_00_art,ACTOR,Aerith
$C1910_MAIN_8100_0800_00_tif,,By the Whispers?
$C1910_MAIN_8100_0800_00_tif,ACTOR,Tifa
$C1910_MAIN_8100_0900_00_art,,Probably.
$C1910_MAIN_8100_0900_00_art,ACTOR,Aerith
$C1910_MAIN_8100_1000_00_tif,,Did they take something from me too?
$C1910_MAIN_8100_1000_00_tif,ACTOR,Tifa
$C1910_MAIN_8100_1100_00_art,,Like what?
$C1910_MAIN_8100_1100_00_art,ACTOR,Aerith
$C1910_MAIN_8100_1100_05_tif,,
$C1910_MAIN_8100_1100_05_tif,ACTOR,Tifa
$C1910_MAIN_8100_1200_00_tif,,"In my memory, five years ago,<br>Cloud didn’t come to Nibelheim."
$C1910_MAIN_8100_1200_00_tif,ACTOR,Tifa
$C1910_MAIN_8100_1200_03_art,,
$C1910_MAIN_8100_1200_03_art,ACTOR,Aerith
$C1910_MAIN_8100_1200_05_art,,
$C1910_MAIN_8100_1200_05_art,ACTOR,Aerith
$C1910_MAIN_8200_0100_00_blt,,
$C1910_MAIN_8200_0100_00_blt,ACTOR,Barret
$C1910_MAIN_8200_0100_05_cld,,
$C1910_MAIN_8200_0100_05_cld,ACTOR,Cloud
$C1910_MAIN_8200_0200_00_tif,,"Cloud, you awake?"
$C1910_MAIN_8200_0200_00_tif,ACTOR,Tifa
$C1910_MAIN_8200_0200_02_cld,,
$C1910_MAIN_8200_0200_02_cld,ACTOR,Cloud
$C1910_MAIN_8200_0200_04_cld,,
$C1910_MAIN_8200_0200_04_cld,ACTOR,Cloud
$C1910_MAIN_8200_0300_00_blt,,
$C1910_MAIN_8200_0300_00_blt,ACTOR,Barret
$C1910_MAIN_8500_0100_00_tif,,"Sorry, were you asleep?"
$C1910_MAIN_8500_0100_00_tif,ACTOR,Tifa
$C1910_MAIN_8500_0200_00_cld,,No. Something happen?
$C1910_MAIN_8500_0200_00_cld,ACTOR,Cloud
$C1910_MAIN_8500_0300_00_tif,,"No, but…<br>there’s something I wanna ask you, Cloud."
$C1910_MAIN_8500_0300_00_tif,ACTOR,Tifa
$C1910_MAIN_8500_0400_00_tif,,Wanna talk for a bit?
$C1910_MAIN_8500_0400_00_tif,ACTOR,Tifa
$C1910_MAIN_8500_0500_00_cld,,Sure.
$C1910_MAIN_8500_0500_00_cld,ACTOR,Cloud
$C1910_MAIN_8500_0600_00_tif,,Then let’s move somewhere else.
$C1910_MAIN_8500_0600_00_tif,ACTOR,Tifa
$C1910_MAIN_8500_0700_00_tif,,"This way, this way."
$C1910_MAIN_8500_0700_00_tif,ACTOR,Tifa
$C1910_MAIN_8600_0000_01_cld,,
$C1910_MAIN_8600_0000_01_cld,ACTOR,Cloud
$C1910_MAIN_8600_0000_03_cld,,
$C1910_MAIN_8600_0000_03_cld,ACTOR,Cloud
$C1910_MAIN_8600_0000_05_cld,,
$C1910_MAIN_8600_0000_05_cld,ACTOR,Cloud
$C1910_MAIN_8600_0100_00_sep,,Tifa should be dead by my hand.
$C1910_MAIN_8600_0100_00_sep,ACTOR,Sephiroth
$C1910_MAIN_8600_0200_00_sep,,Then who is that?
$C1910_MAIN_8600_0200_00_sep,ACTOR,Sephiroth
$C1910_MAIN_8600_0210_00_sep,,"Truly, there’s no room for carelessness."
$C1910_MAIN_8600_0210_00_sep,ACTOR,Sephiroth
$C1910_MAIN_8600_0210_02_cld,,
$C1910_MAIN_8600_0210_02_cld,ACTOR,Cloud
$C1910_MAIN_8600_0210_04_cld,,
$C1910_MAIN_8600_0210_04_cld,ACTOR,Cloud
$C1910_MAIN_8700_0100_00_brd,,You don’t look well.<br>Old war wounds acting up?
$C1910_MAIN_8700_0100_00_brd,ACTOR,Innkeeper
$C1910_MAIN_8700_0200_00_brd,,"Truth is, I used to work for Shinra too.<br>Now I run this humble inn, but sometimes those old scars ache."
$C1910_MAIN_8700_0200_00_brd,ACTOR,Innkeeper
$C1910_MAIN_8700_0300_00_brd,,"Well, my time at Shinra was<br>a long while back, though…"
$C1910_MAIN_8700_0300_00_brd,ACTOR,Innkeeper
$C1910_MAIN_8700_0400_00_brd,,Why not rest in your room?<br>Might do you some good.
$C1910_MAIN_8700_0400_00_brd,ACTOR,Innkeeper
$C1910_MAIN_8800_0000_02_tif,,
$C1910_MAIN_8800_0000_02_tif,ACTOR,Tifa
$C1910_MAIN_8800_0000_05_cld,,
$C1910_MAIN_8800_0000_05_cld,ACTOR,Cloud
$C1910_MAIN_8800_0100_00_tif,,"Midgar’s that way, right?"
$C1910_MAIN_8800_0100_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_0200_00_tif,,"Hey, um…"
$C1910_MAIN_8800_0200_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_0300_00_cld,,I’ve got a question for you too.
$C1910_MAIN_8800_0300_00_cld,ACTOR,Cloud
$C1910_MAIN_8800_0300_05_tif,,
$C1910_MAIN_8800_0300_05_tif,ACTOR,Tifa
$C1910_MAIN_8800_0400_00_tif,,Go ahead.
$C1910_MAIN_8800_0400_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_0500_00_cld,,"Five years ago, that day,<br>I saw you in the mako reactor, Tifa."
$C1910_MAIN_8800_0500_00_cld,ACTOR,Cloud
$C1910_MAIN_8800_0600_00_cld,,Blood was pouring from a deep wound.
$C1910_MAIN_8800_0600_00_cld,ACTOR,Cloud
$C1910_MAIN_8800_0610_00_cld,,I thought it was too late for you.
$C1910_MAIN_8800_0610_00_cld,ACTOR,Cloud
$C1910_MAIN_8800_0700_00_tif,,Yeah…
$C1910_MAIN_8800_0700_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_0700_05_tif,,
$C1910_MAIN_8800_0700_05_tif,ACTOR,Tifa
$C1910_MAIN_8800_0800_00_tif,,Are you doubting me?<br>Wondering if I’m not the same person from back then?
$C1910_MAIN_8800_0800_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_0800_05_cld,,
$C1910_MAIN_8800_0800_05_cld,ACTOR,Cloud
$C1910_MAIN_8800_0800_07_tif,,
$C1910_MAIN_8800_0800_07_tif,ACTOR,Tifa
$C1910_MAIN_8800_0900_00_tif,,I never imagined you’d suspect me like this.
$C1910_MAIN_8800_0900_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1000_00_tif,,"Hey, look."
$C1910_MAIN_8800_1000_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1100_00_tif,,See? The scar from that time.
$C1910_MAIN_8800_1100_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1100_03_cld,,
$C1910_MAIN_8800_1100_03_cld,ACTOR,Cloud
$C1910_MAIN_8800_1100_05_cld,,
$C1910_MAIN_8800_1100_05_cld,ACTOR,Cloud
$C1910_MAIN_8800_1200_00_tif,,The one who saved me at the reactor<br>was Master Zangan.
$C1910_MAIN_8800_1200_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1300_00_tif,,He carried me and risked his life crossing the river.
$C1910_MAIN_8800_1300_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1400_00_tif,,The doctor where I was taken operated all night.<br>The nurses never left my side.
$C1910_MAIN_8800_1400_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1600_00_tif,,"Thanks to people like them, I survived."
$C1910_MAIN_8800_1600_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1700_00_tif,,"What about you, Cloud?"
$C1910_MAIN_8800_1700_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1800_00_tif,,What were you doing after you left the village?
$C1910_MAIN_8800_1800_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1800_05_cld,,
$C1910_MAIN_8800_1800_05_cld,ACTOR,Cloud
$C1910_MAIN_8800_1900_00_tif,,These past five years?
$C1910_MAIN_8800_1900_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_1900_05_cld,,
$C1910_MAIN_8800_1900_05_cld,ACTOR,Cloud
$C1910_MAIN_8800_2000_00_cld,,It’s a job with a lot of secrets.
$C1910_MAIN_8800_2000_00_cld,ACTOR,Cloud
$C1910_MAIN_8800_2000_05_tif,,
$C1910_MAIN_8800_2000_05_tif,ACTOR,Tifa
$C1910_MAIN_8800_2100_00_tif,,Guess it would be.
$C1910_MAIN_8800_2100_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_2100_05_tif,,
$C1910_MAIN_8800_2100_05_tif,ACTOR,Tifa
$C1910_MAIN_8800_2200_00_tif,,Sorry. I’m heading back to the room.
$C1910_MAIN_8800_2200_00_tif,ACTOR,Tifa
$C1910_MAIN_8800_2200_05_cld,,
$C1910_MAIN_8800_2200_05_cld,ACTOR,Cloud
$C1910_MAIN_8900_0100_00_tif,,"We weren’t exactly best buddies<br>as childhood friends, were we?"
$C1910_MAIN_8900_0100_00_tif,ACTOR,Tifa
$C1910_MAIN_8900_0200_00_cld,,Maybe not.
$C1910_MAIN_8900_0200_00_cld,ACTOR,Cloud
$C1910_MAIN_8900_0200_05_tif,,
$C1910_MAIN_8900_0200_05_tif,ACTOR,Tifa
$C1910_MAIN_8900_0300_00_tif,,Did I get too excited about reuniting?
$C1910_MAIN_8900_0300_00_tif,ACTOR,Tifa
$C1910_MAIN_8900_0300_05_cld,,
$C1910_MAIN_8900_0300_05_cld,ACTOR,Cloud
$C1910_MAIN_9000_0000_05_cld,,
$C1910_MAIN_9000_0000_05_cld,ACTOR,Cloud
$C1910_MAIN_9000_0100_00_blt,,You two have a fight?
$C1910_MAIN_9000_0100_00_blt,ACTOR,Barret
$C1910_MAIN_9000_0200_00_cld,,No.
$C1910_MAIN_9000_0200_00_cld,ACTOR,Cloud
$C1910_MAIN_9000_0200_05_blt,,
$C1910_MAIN_9000_0200_05_blt,ACTOR,Barret
$C1910_MAIN_9000_0300_00_blt,,I don’t wanna deal with any more trouble.
$C1910_MAIN_9000_0300_00_blt,ACTOR,Barret
$C1910_MAIN_9000_0310_00_blt,,Got it?
$C1910_MAIN_9000_0310_00_blt,ACTOR,Barret
$C1910_MAIN_9000_0310_03_cld,,
$C1910_MAIN_9000_0310_03_cld,ACTOR,Cloud
$C1910_MAIN_9000_0310_05_cld,,
$C1910_MAIN_9000_0310_05_cld,ACTOR,Cloud
$C1910_MAIN_9000_0400_00_cld,,I’m going to bed.
$C1910_MAIN_9000_0400_00_cld,ACTOR,Cloud
$C1910_MAIN_9000_0500_00_red,,The night always gives way to dawn.
$C1910_MAIN_9000_0500_00_red,ACTOR,Red XIII
$C1920_MAIN_0100_0000_01_cld,,
$C1920_MAIN_0100_0000_01_cld,ACTOR,Cloud
$C1920_MAIN_0100_0000_02_cld,,
$C1920_MAIN_0100_0000_02_cld,ACTOR,Cloud
$C1920_MAIN_0100_0000_03_cld,,
$C1920_MAIN_0100_0000_03_cld,ACTOR,Cloud
$C1920_MAIN_0100_0000_04_cld,,
$C1920_MAIN_0100_0000_04_cld,ACTOR,Cloud
$C1920_MAIN_0100_0000_05_cld,,
$C1920_MAIN_0100_0000_05_cld,ACTOR,Cloud
$C1920_MAIN_0100_0100_00_cld,,This is…
$C1920_MAIN_0100_0100_00_cld,ACTOR,Cloud
$C1920_MAIN_0100_0200_00_brd,,<i>A little gift from our inn.</i>
$C1920_MAIN_0100_0200_00_brd,ACTOR,<i>Innkeeper</i>
$C1920_MAIN_0100_0300_00_brd,,<i>Feel free to use it as a communication tool<br>if you’d like.</i>
$C1920_MAIN_0100_0300_00_brd,ACTOR,<i>Innkeeper</i>
$C1920_MAIN_0100_0400_00_cld,,Queen’s Blood?
$C1920_MAIN_0100_0400_00_cld,ACTOR,Cloud
$C1920_MAIN_0200_0100_00_brd,,Good morning.
$C1920_MAIN_0200_0100_00_brd,ACTOR,Innkeeper
$C1920_MAIN_0200_0110_00_brd,,"My greetings are a bit late.<br>I’m Broden, the owner of this inn."
$C1920_MAIN_0200_0110_00_brd,ACTOR,Broden
$C1920_MAIN_0200_0120_00_brd,,Everyone else has already gone out.
$C1920_MAIN_0200_0120_00_brd,ACTOR,Broden
$C1920_MAIN_0200_0200_00_brd,,"Oh, right.<br>I’ve got a message for you from Barret."
$C1920_MAIN_0200_0200_00_brd,ACTOR,Broden
$C1920_MAIN_0200_0300_00_brd,,‘To the sleepy SOLDIER:<br> Today’s a free day.’
$C1920_MAIN_0200_0300_00_brd,ACTOR,Broden
$C1920_MAIN_0200_0400_00_brd,,‘Might as well check your gear<br> while you’ve got the time.’
$C1920_MAIN_0200_0400_00_brd,ACTOR,Broden
$C1920_MAIN_0200_0410_00_brd,,…That’s what he said.
$C1920_MAIN_0200_0410_00_brd,ACTOR,Broden
$C1920_MAIN_0200_0500_00_brd,,How about stopping by the weapon shop first?
$C1920_MAIN_0200_0500_00_brd,ACTOR,Broden
$C1920_MAIN_0200_0600_00_cld,,"Yeah, sounds good."
$C1920_MAIN_0200_0600_00_cld,ACTOR,Cloud
$C1920_MAIN_0200_0700_00_brd,,"Oh, and Cloud,<br>you’ve got a ‘Skill Book,’ right?"
$C1920_MAIN_0200_0700_00_brd,ACTOR,Broden
$C1920_MAIN_0200_0800_00_cld,,Yeah.
$C1920_MAIN_0200_0800_00_cld,ACTOR,Cloud
$C1920_MAIN_0200_0900_00_brd,,Then why not swing by<br>the bookstore while you’re at it?
$C1920_MAIN_0200_0900_00_brd,ACTOR,Broden
$C1920_MAIN_0200_1000_00_brd,,The bookstore in Kalm is the original branch<br>of a prestigious magic shop.
$C1920_MAIN_0200_1000_00_brd,ACTOR,Broden
$C1920_MAIN_0200_1010_00_brd,,I’m pretty sure they’ll give you a first-time discount.
$C1920_MAIN_0200_1010_00_brd,ACTOR,Broden
$C1920_MAIN_0200_1100_00_brd,,A skilled craftsman there<br>can unlock new abilities for you.
$C1920_MAIN_0200_1100_00_brd,ACTOR,Broden
$C1920_MAIN_0200_1110_00_brd,,They’ll customize your Skill Book for you.
$C1920_MAIN_0200_1110_00_brd,ACTOR,Broden
$C1920_MAIN_0300_0200_00_brd,,"Kalm’s a simple, nice little town."
$C1920_MAIN_0300_0200_00_brd,ACTOR,Broden
$C1920_MAIN_0300_0300_00_brd,,Take your time sightseeing.
$C1920_MAIN_0300_0300_00_brd,ACTOR,Broden
$C1920_MAIN_0300_0400_00_brd,,Have you been to the weapon shop and bookstore yet?
$C1920_MAIN_0300_0400_00_brd,ACTOR,Broden
$C1920_MAIN_0310_0100_00_red,,You’re up?
$C1920_MAIN_0310_0100_00_red,ACTOR,Red XIII
$C1920_MAIN_0310_0110_00_red,,You must’ve been really exhausted.
$C1920_MAIN_0310_0110_00_red,ACTOR,Red XIII
$C1920_MAIN_0310_0200_00_cld,,Were you waiting for me?
$C1920_MAIN_0310_0200_00_cld,ACTOR,Cloud
$C1920_MAIN_0310_0300_00_red,,I realized I hadn’t thanked you yet.
$C1920_MAIN_0310_0300_00_red,ACTOR,Red XIII
$C1920_MAIN_0310_0310_00_red,,"Thanks to you and the others, I escaped Hojo."
$C1920_MAIN_0310_0310_00_red,ACTOR,Red XIII
$C1920_MAIN_0310_0400_00_cld,,Just how things worked out.
$C1920_MAIN_0310_0400_00_cld,ACTOR,Cloud
$C1920_MAIN_0310_0500_00_red,,"Even so, a debt must be repaid."
$C1920_MAIN_0310_0500_00_red,ACTOR,Red XIII
$C1920_MAIN_0310_0510_00_red,,I’ll stick with you for a while.
$C1920_MAIN_0310_0510_00_red,ACTOR,Red XIII
$C1920_MAIN_0310_0600_00_red,,"Oh, right."
$C1920_MAIN_0310_0600_00_red,ACTOR,Red XIII
$C1920_MAIN_0310_0610_00_red,,"If you’re checking gear, mind handling mine too?"
$C1920_MAIN_0310_0610_00_red,ACTOR,Red XIII
$C1920_MAIN_0310_0700_00_cld,,Got it.
$C1920_MAIN_0310_0700_00_cld,ACTOR,Cloud
$C1920_MAIN_0310_0700_05_cld,,
$C1920_MAIN_0310_0700_05_cld,ACTOR,Cloud
$C1920_MAIN_0310_0800_00_cld,,Pretty bossy for a newbie.
$C1920_MAIN_0310_0800_00_cld,ACTOR,Cloud
$C1920_MAIN_0400_0000_05_tif,,
$C1920_MAIN_0400_0000_05_tif,ACTOR,Tifa
$C1920_MAIN_0400_0100_00_tif,,Morning.
$C1920_MAIN_0400_0100_00_tif,ACTOR,Tifa
$C1920_MAIN_0400_0200_00_cld,,Yeah.
$C1920_MAIN_0400_0200_00_cld,ACTOR,Cloud
$C1920_MAIN_0400_0300_00_tif,,Looks like everyone’s gone to check out the town.
$C1920_MAIN_0400_0300_00_tif,ACTOR,Tifa
$C1920_MAIN_0400_0400_00_cld,,Seems that way.
$C1920_MAIN_0400_0400_00_cld,ACTOR,Cloud
$C1920_MAIN_0400_0500_00_tif,,Doesn’t that tank remind you of something?
$C1920_MAIN_0400_0500_00_tif,ACTOR,Tifa
$C1920_MAIN_0400_0510_00_sys,,Doesn’t that tank remind you of something?
$C1920_MAIN_0400_0520_00_sys,,The place we promised.
$C1920_MAIN_0400_0530_00_sys,,It’s like Nibelheim’s water tower.
$C1920_MAIN_0400_0540_00_sys,,Just a mako tank.
$C1920_MAIN_0400_0600_00_cld,,"Yeah, the place we promised."
$C1920_MAIN_0400_0600_00_cld,ACTOR,Cloud
$C1920_MAIN_0400_0700_00_tif,,I really liked the outfit I wore back then.
$C1920_MAIN_0400_0700_00_tif,ACTOR,Tifa
$C1920_MAIN_0400_0800_00_cld,,"Yeah, that kinda blue… or maybe green one."
$C1920_MAIN_0400_0800_00_cld,ACTOR,Cloud
$C1920_MAIN_0400_0900_00_tif,,Yep.
$C1920_MAIN_0400_0900_00_tif,ACTOR,Tifa
$C1920_MAIN_0400_1000_00_cld,,It’s like Nibelheim’s water tower.
$C1920_MAIN_0400_1000_00_cld,ACTOR,Cloud
$C1920_MAIN_0400_1100_00_tif,,Yeah.
$C1920_MAIN_0400_1100_00_tif,ACTOR,Tifa
$C1920_MAIN_0400_1110_00_tif,,"It’s a place full of memories,<br>but it’s gone now."
$C1920_MAIN_0400_1110_00_tif,ACTOR,Tifa
$C1920_MAIN_0400_1200_00_cld,,Just a mako tank.
$C1920_MAIN_0400_1200_00_cld,ACTOR,Cloud
$C1920_MAIN_0400_1300_00_tif,,Right… yeah.
$C1920_MAIN_0400_1300_00_tif,ACTOR,Tifa
$C1920_MAIN_0400_1400_00_cld,,They ship mako from Midgar<br>and store it in that tank.
$C1920_MAIN_0400_1400_00_cld,ACTOR,Cloud
$C1920_MAIN_0400_1500_00_tif,,"Oh, I see."
$C1920_MAIN_0400_1500_00_tif,ACTOR,Tifa
$C1920_MAIN_0500_0100_00_tif,,"It’s peaceful. Nice town, huh?"
$C1920_MAIN_0500_0100_00_tif,ACTOR,Tifa
$C1920_MAIN_0500_0200_00_tif,,Makes me wanna take it easy.<br>Is that okay…?
$C1920_MAIN_0500_0200_00_tif,ACTOR,Tifa
$C1920_MAIN_0600_0100_00_blt,,"Hey, up bright and early!"
$C1920_MAIN_0600_0100_00_blt,ACTOR,Barret
$C1920_MAIN_0600_0200_00_cld,,Drinking already?
$C1920_MAIN_0600_0200_00_cld,ACTOR,Cloud
$C1920_MAIN_0600_0300_00_blt,,"Ain’t booze, man."
$C1920_MAIN_0600_0300_00_blt,ACTOR,Barret
$C1920_MAIN_0600_0310_00_blt,,I’ll raise a toast once we rebuild Seventh Heaven.
$C1920_MAIN_0600_0310_00_blt,ACTOR,Barret
$C1920_MAIN_0600_0320_00_sys,,I’ll raise a toast once we rebuild Seventh Heaven.
$C1920_MAIN_0600_0330_00_sys,,I’ll treat you then.
$C1920_MAIN_0600_0340_00_sys,,It’ll be some good liquor.
$C1920_MAIN_0600_0350_00_sys,,"Gotta wait a while, huh?"
$C1920_MAIN_0600_0400_00_cld,,I’ll treat you then.
$C1920_MAIN_0600_0400_00_cld,ACTOR,Cloud
$C1920_MAIN_0600_0500_00_blt,,"Well, ain’t that nice!"
$C1920_MAIN_0600_0500_00_blt,ACTOR,Barret
$C1920_MAIN_0600_0510_00_blt,,Guess I’d better stock up on the pricey stuff.
$C1920_MAIN_0600_0510_00_blt,ACTOR,Barret
$C1920_MAIN_0600_0600_00_cld,,It’ll be some good liquor.
